# contact :: ERA5 smoothed mean of South American air temperatures - Pantanal wildfires 2024, c.barnes22@imperial.ac.uk 
# samst [degC] 4-year smoothed July-June average of air temperatures over the IPBES South America region at pantanal-fires_samst_era5.dat
# year samst
1951 20.887897
1952 20.939785
1953 20.98714
1954 21.009203
1955 20.893936
1956 20.807037
1957 20.93015
1958 21.048243
1959 21.225376
1960 21.412056
1961 21.421822
1962 21.375978
1963 21.413033
1964 21.25962
1965 21.220736
1966 21.15997
1967 21.023169
1968 21.167494
1969 21.189484
1970 21.17238
1971 21.203083
1972 21.212614
1973 21.043926
1974 21.052765
1975 20.95498
1976 20.848406
1977 20.988632
1978 21.06227
1979 21.251564
1980 21.308119
1981 21.275375
1982 21.386497
1983 21.326103
1984 21.26251
1985 21.247633
1986 21.179012
1987 21.282507
1988 21.319769
1989 21.359903
1990 21.388786
1991 21.331406
1992 21.313866
1993 21.346268
1994 21.371372
1995 21.39498
1996 21.461163
1997 21.630787
1998 21.621113
1999 21.582664
2000 21.546154
2001 21.43245
2002 21.521193
2003 21.600506
2004 21.756203
2005 21.757666
2006 21.75835
2007 21.719603
2008 21.721027
2009 21.834278
2010 21.779362
2011 21.861052
2012 21.91186
2013 21.824505
2014 21.947578
2015 22.102901
2016 22.105648
2017 22.171524
2018 22.149853
2019 22.089224
2020 22.043163
2021 21.98937
2022 21.947823
2023 22.116772
2024 22.189724
