# contact :: ERA5 mean November SST over southern Bay of Bengal - SE Asia floods, 2025, c.barnes22@imperial.ac.uk 
# sst [degc] mean November SSTs averaged over 77E-105E, 0-15N at SEA-floods_sst-era5.dat
# year sst
1950 28.229393
1951 28.90592
1952 28.285164
1953 28.323605
1954 28.140839
1955 27.91002
1956 27.985703
1957 28.529963
1958 28.3662
1959 28.587961
1960 28.257479
1961 28.56152
1962 28.48648
1963 28.562475
1964 28.229572
1965 28.714752
1966 28.546293
1967 28.20236
1968 28.211523
1969 28.603552
1970 28.469534
1971 28.058573
1972 29.08164
1973 28.375742
1974 28.285404
1975 28.110758
1976 28.421707
1977 28.388887
1978 28.27974
1979 28.47029
1980 28.582502
1981 28.496109
1982 28.952251
1983 28.557493
1984 28.551971
1985 28.342323
1986 28.684217
1987 29.077652
1988 28.264414
1989 28.628353
1990 28.702055
1991 28.4274
1992 28.362902
1993 28.533113
1994 28.16214
1995 28.631191
1996 28.600456
1997 28.793242
1998 28.855389
1999 28.515787
2000 28.606997
2001 28.838842
2002 28.93641
2003 28.962486
2004 28.832136
2005 28.7351
2006 29.100168
2007 28.609255
2008 28.900423
2009 29.082054
2010 28.67407
2011 29.046604
2012 29.026394
2013 28.94882
2014 28.882877
2015 29.289055
2016 28.871685
2017 29.032656
2018 29.00248
2019 29.148687
2020 29.14924
2021 29.05031
2022 28.73428
2023 29.307383
2024 29.53349
2025 29.032555
