# contact :: CMIP6 HighResSST EC-Earth3P_r1i1p1f1 September ENSO index - Mexico floods, c.barnes22@imperial.ac.uk 
# nino34-sep [degC] September detrended Nino3.4 index at mexico-floods_nino3.4-sep_HighResSST_EC-Earth3P_r1i1p1f1.dat
# year nino34-sep
1950 0.026245117
1951 0.8137207
1952 -0.1586914
1953 0.77716064
1954 -0.02053833
1955 -0.46499634
1956 0.53463745
1957 1.0776062
1958 0.45614624
1959 0.3668518
1960 0.34906006
1961 0.42095947
1962 0.20339966
1963 0.83618164
1964 -0.12835693
1965 1.2042847
1966 0.5396118
1967 0.37423706
1968 0.87857056
1969 0.73895264
1970 -0.049682617
1971 -0.14788818
1972 1.5618896
1973 -0.7979431
1974 0.63983154
1975 -0.23342896
1976 1.341095
1977 0.80358887
1978 0.25912476
1979 0.5692749
1980 0.47131348
1981 0.67266846
1982 1.3849792
1983 0.3798523
1984 0.21310425
1985 0.5771179
1986 1.1359558
1987 1.4989929
1988 -0.69714355
1989 0.33880615
1990 0.6742554
1991 1.091217
1992 0.40161133
1993 1.0436096
1994 1.0252991
1995 -0.41088867
1996 -0.08981323
1997 1.9179688
1998 -0.9408264
1999 -0.36557007
2000 0.006225586
2001 0.35491943
2002 1.248352
2003 0.32366943
2004 1.0980225
2005 0.16064453
2006 0.9403076
2007 -0.73349
2008 -0.16781616
2009 0.72280884
2010 -1.1617432
2011 -0.25793457
2012 0.4967041
2013 0.19543457
2014 0.6366272
2015 1.8218384
2015 1.7631226
2016 0.018493652
2017 0.26559448
2018 1.0004578
2019 -0.08718872
2020 -0.1697998
2021 0.15600586
2022 0.67160034
2023 1.1355591
2024 -1.0322571
2025 -0.021728516
2026 0.15600586
2027 0.6012573
2028 0.1472168
2029 0.63327026
2030 0.6619873
2031 -0.59161377
2032 -0.13986206
2033 1.8446655
2034 -1.2357178
2035 -0.44100952
2036 -0.23098755
2037 -0.0063171387
2038 1.0420837
2039 0.118652344
2040 0.84017944
2041 -0.16882324
2042 0.76486206
2043 -0.5905762
2044 -0.09942627
2045 0.7987976
2046 -0.94418335
2047 -0.2524414
2048 0.30181885
2049 0.003692627
