# contact :: MSWEP rainy season durations Panama drought 2023-4, c.barnes22@imperial.ac.uk 
# rs_durations [days] duration of rainy season over central Panama at panama-drought_mswep_rs-durations
# year rs_durations
1979 245
1980 223
1981 252
1982 223
1983 237
1984 201
1985 226
1986 229
1987 232
1988 218
1989 227
1990 219
1991 229
1992 229
1993 243
1994 205
1995 265
1996 238
1997 213
1998 237
1999 244
2000 240
2001 231
2002 237
2003 241
2004 232
2005 235
2006 231
2007 269
2008 215
2009 220
2010 257
2011 213
2012 247
2013 221
2014 239
2015 219
2016 221
2017 257
2018 220
2019 238
2020 212
2021 239
2022 220
2023 188
