# contact :: CPC PET HoA-2024, m.zachariah@imperial.ac.uk 
# MAM PET over HoA at CPC_pet_HoA
# year temp
1980 0.1563917522785087
1981 0.1420176823274005
1982 0.1440670663330923
1983 0.15796644348869002
1984 0.15817386580656423
1985 0.14947951457698044
1986 0.15635543794625525
1987 0.1537536839427778
1988 0.15599859037787853
1989 0.14598625851094577
1990 0.14956220652041238
1991 0.15566934813213842
1992 0.1601958334969378
1993 0.15792752906748164
1994 0.15297906616865764
1995 0.14896741336370378
1996 0.15027703456558753
1997 0.15290050838425928
1998 0.14923298615572467
1999 0.14112798538065624
2000 0.15291968697131775
2001 0.1482441076050314
2002 0.1472615960684655
2003 0.15854343538653057
2004 0.14728394020516017
2005 0.15599759388649093
2006 0.14476338220303525
2007 0.15223267390118167
2008 0.15088223641482
2009 0.14987084326024835
2010 0.13964034197192632
2011 0.1498528440391497
2012 0.1552852352481146
2013 0.14638007406384748
2014 0.1543021796047391
2015 0.15483024244087745
2016 0.15689483115961506
2017 0.15130369365361707
2018 0.13698472274706386
2019 0.1494889579250988
2020 0.15484913446031318
2021 0.17086936007062314
2022 0.16737529280615068
2023 0.16069677459321624
2024 0.16261419815185119
