# contact :: CPC JJASO precipitation - Mexico floods, c.barnes22@imperial.ac.uk 
# pr-jjaso [mm/season] June-October accumulated precipitation averaged over eastern Mexico at mexico-floods_pr-jjaso_cpc.dat
# year pr-jjaso
1979 654.0905
1980 629.30725
1981 832.10266
1982 471.38956
1983 801.729
1984 942.03394
1985 797.6636
1986 823.2341
1987 945.57104
1988 764.52515
1989 572.5486
1990 770.3233
1991 925.296
1992 775.9861
1993 986.41077
1994 456.30472
1995 729.6908
1996 659.36597
1997 607.51746
1998 849.7958
1999 725.3664
2000 603.76685
2001 689.2124
2002 731.99146
2003 818.8385
2004 649.1751
2005 736.0709
2006 630.38165
2007 780.4976
2008 935.41174
2009 624.8008
2010 905.4325
2011 670.4719
2012 709.6333
2013 888.2172
2014 805.60645
2015 620.0407
2016 676.19226
2017 791.8395
2018 658.17737
2019 561.51025
2020 600.66125
2021 747.1985
2022 632.0355
2023 420.57104
2024 854.4259
2025 857.4169
