# contact :: December southern annular mode - Patagonia wildfires, c.barnes22@imperial.ac.uk 
# sam-dec [] December value of Southern Annular Mode index (obtained from https://stateoftheocean.osmc.noaa.gov/atm/data/sam.nc) at sam-fires_sam-dec.dat
# year sam
1980 -0.9507
1981 -0.3563
1982 1.1164
1983 -1.9337
1984 0.4755
1985 -1.4756
1986 1.2403
1987 0.8863
1988 0.2723
1989 1.0745
1990 -0.445
1991 -0.3117
1992 -2.0675
1993 0.2436
1994 1.0281
1995 0.9327
1996 1.4697
1997 -0.0231
1998 -0.8355
1999 1.4352
2000 1.7838
2001 -1.2903
2002 1.4736
2003 1.3085
2004 -1.3229
2005 -0.9729
2006 -1.9678
2007 0.6384
2008 1.9293
2009 1.1938
2010 0.6068
2011 0.2054
2012 2.5735
2013 -0.7635
2014 0.0613
2015 1.3222
2016 -0.0589
2017 -0.7112
2018 0.9839
2019 0.9299
2020 -1.3599
2021 1.4813
2022 2.1548
2023 1.7004
2024 1.51
2025 -0.8259
2026 -1.1357
