# contact :: ERA5 June FWI in the Brazilian Pantanal - Pantanal wildfires 2024, c.barnes22@imperial.ac.uk 
# fwi [] June mean of FWI averaged over the Brazilian Pantanal at pantanal-fires_fwi-june_era5.dat
# year fwi
1940 17.08236
1941 5.2394385
1942 5.2150755
1943 19.330576
1944 8.78362
1945 12.060293
1946 3.6395407
1947 8.962836
1948 16.549776
1949 11.148551
1950 7.339416
1951 12.841745
1952 13.110896
1953 17.051561
1954 9.143541
1955 7.7671494
1956 2.7759767
1957 18.823195
1958 13.327534
1959 14.680621
1960 24.65653
1961 34.57875
1962 15.03927
1963 24.267477
1964 21.498333
1965 14.606661
1966 24.056694
1967 12.046713
1968 31.10076
1969 28.841978
1970 21.647814
1971 7.079309
1972 22.336649
1973 17.598963
1974 5.794624
1975 24.945375
1976 10.049996
1977 6.3170905
1978 14.528326
1979 15.350506
1980 13.361804
1981 5.4996595
1982 8.423167
1983 5.0820537
1984 18.055
1985 19.838934
1986 15.089252
1987 8.156521
1988 8.55661
1989 6.8464355
1990 6.393059
1991 10.684065
1992 13.85313
1993 10.615526
1994 7.955527
1995 15.1305895
1996 10.936536
1997 6.042725
1998 11.182543
1999 16.062359
2000 22.956533
2001 11.236219
2002 22.773535
2003 19.668203
2004 16.752663
2005 23.632841
2006 21.997196
2007 24.941141
2008 13.850385
2009 12.699778
2010 25.054932
2011 21.669647
2012 7.192868
2013 8.354513
2014 11.840066
2015 11.905529
2016 9.445733
2017 11.675924
2018 15.999861
2019 26.497093
2020 20.657139
2021 18.507837
2022 14.496453
2023 13.413476
2024 40.889427
