# contact :: JASOND Nino3.4rel - Panama drought 2023-4, c.barnes22@imperial.ac.uk 
# nino34rel [degC] JASOND mean of standardised Nino4.3 index over central Panama at panama-drought_nino-rel_JASOND
# year nino34rel
1979 0.2894761
1980 0.033644598
1981 -0.24865793
1982 1.7531488
1983 -0.7618312
1984 -0.5263063
1985 -0.27061722
1986 0.88876283
1987 1.2085096
1988 -1.6853559
1989 -0.2875471
1990 0.30554077
1991 1.1701927
1992 0.12225899
1993 0.31999856
1994 0.9945328
1995 -0.80581367
1996 -0.33878097
1997 2.0965059
1998 -1.5808977
1999 -1.243356
2000 -0.6070832
2001 -0.20535824
2002 1.1960089
2003 0.16563448
2004 0.7005391
2005 -0.3831532
2006 0.548333
2007 -1.1730331
2008 -0.47803348
2009 0.7893902
2010 -1.6635561
2011 -0.84931755
2012 0.10811584
2013 -0.3413579
2014 0.1317552
2015 1.9201741
2016 -1.0889198
2017 -0.84131753
2018 0.39998478
2019 0.029669482
2020 -1.2711647
2021 -1.0252692
2022 -1.0813596
2023 1.1135337
