# contact :: CPC April maxima of 3-day tmax - Sahel heat 2024, c.barnes22@imperial.ac.uk 
# tmax [degC] April maximum of 3-day maximum temperatures across West Africa region at sahel-heat_tx3x-april_-16_20_10_17_cpc.dat
# year tmax
1979 41.20037078857422
1980 41.616004943847656
1981 41.16789245605469
1982 40.50260925292969
1983 40.81711959838867
1984 40.62080001831055
1985 39.13682174682617
1986 41.66664123535156
1987 41.39577865600586
1988 41.7071647644043
1989 40.72804641723633
1990 41.35368347167969
1991 42.024513244628906
1992 40.264137268066406
1993 41.098018646240234
1994 42.17281723022461
1995 40.53525924682617
1996 40.503231048583984
1997 40.447776794433594
1998 42.18621063232422
1999 40.02134704589844
2000 41.1617317199707
2001 40.894493103027344
2002 40.13372802734375
2003 40.99233627319336
2004 40.68428039550781
2005 40.806556701660156
2006 40.57263946533203
2007 41.43073654174805
2008 41.433597564697266
2009 40.80910873413086
2010 41.89588928222656
2011 41.32125473022461
2012 41.23307418823242
2013 40.7005729675293
2014 40.86343002319336
2015 41.349143981933594
2016 42.14732360839844
2017 41.005645751953125
2018 41.568458557128906
2019 40.9296989440918
2020 42.546607971191406
2021 42.617897033691406
2022 42.36700439453125
2023 41.91839599609375
2024 43.37342834472656
